type,name,description,gbif_prov,gbif_data,broad_taxa,taxa,logo,website
Recording Scheme,Stilt and Stalk Fly Recording Scheme,,,926f5a1c-8995-498a-913b-fe0312e1071f; ,3. Invertebrates: Flies,Stilt and stalk flies,,https://dipterists.org.uk/micropezid-allies-scheme/home
Recording Scheme,Stonefly Recording Scheme,Collected together under Riverfly Recording Schemes,125b5016-8748-43a8-ae03-632345d3262a,,3. Invertebrates: Other insects,Stoneflies,,https://www.riverflies.org/recording-schemes
Recording Scheme,Tachinid Recording Scheme,,69dda90b-42f0-47f9-8eae-ccb02cfba4ec,772d950d-2cf5-491e-bf31-b670e372b3fc; 27e416d9-ac57-48a6-ad78-55990f7af998,3. Invertebrates: Flies,Tachinid flies,,https://tachinidae.org.uk/blog/
Recording Scheme,Tenebrionoidea Recording Scheme,,,,3. Invertebrates: Beetles,Darkling beetles,,https://coleoptera.org.uk/index.php/tenebrionoidea/home
Recording Scheme,Tephritid Flies Recording Scheme,,,,3. Invertebrates: Flies,Tephritid flies,,https://dipterists.org.uk/tephritid-flies-scheme/home
Recording Scheme,Terrestrial Flatworm Recording Scheme,,,,4. Invertebrates: Non-insects,Terrestrial flatworms,,
Recording Scheme,Terrestrial Heteroptera Recording Scheme - Plant bugs and allied species,,bcecc656-f757-4637-83ce-c1f44f17c77d,,3. Invertebrates: Other insects,Plant bugs & allied species,,https://www.britishbugs.org.uk/
Recording Scheme,Terrestrial Heteroptera Recording Scheme - Shield bugs and allied species,,a86070d3-15cf-43df-b5a9-6949901963d3,,3. Invertebrates: Other insects,Shield bugs & allied species,,https://www.britishbugs.org.uk/
Recording Scheme,The Fungus Conservation Trust,,5a863641-618b-4821-9040-a86ff65c6b7c,,"1. Plants, lichens and fungi",Fungi,,https://www.fungustrust.org.uk/
recroding scheme,Tick Surveillance Scheme,,,,4. Invertebrates: Non-insects,Ticks,,https://www.gov.uk/guidance/tick-surveillance-scheme
Monitoring Scheme,UK Butterfly Monitoring Scheme,,179ccc1f-7315-4925-9725-69377ca8b6d4,,3. Invertebrates: Other insects,Butterflies,ukbms-logo.png,https://ukbms.org/
Recording Scheme,UK Ladybird Survey,,,b4c0c858-f6f3-415f-aec1-f7e3534a8126; 68fa8801-0b3e-400e-afa6-5ad08e0f1e4c,3. Invertebrates: Beetles,Ladybirds,ukls-logo.png,https://coleoptera.org.uk/coccinellidae/home
Monitoring Scheme,UK Pollinator Monitoring Scheme,,62433b33-28b2-4f70-8b75-b183f54aabaa,,3. Invertebrates: Other insects,Pollinating insects,poms-logo.png,https://ukpoms.org.uk/
Recording Scheme,Weevil and Bark Beetle Recording Scheme,,8b09e94e-a95e-417f-8695-53dd9ae7f4e1,,3. Invertebrates: Beetles,Weevils and Bark Beetles,,https://coleoptera.org.uk/scheme/curculionoidea
Monitoring Scheme,Wetland Birds Survey,Run by British Trust for Ornithology (BTO),,,2. Vertebrates,Birds,,https://www.bto.org/get-involved/volunteer/projects/wetland-bird-survey
